FB	rho	time	Y	U	W	C
1	0.125	258.9561360662567	0.7908794306337672	0.42984336164278253	6.1301992158698235	0.197468932740597	NaN
1	0.125	500.0	0.7908794306332101	0.42984336164287373	6.130199215869853	0.19746893274055374	NaN
1	0.13125	500.0	0.7908794306332101	0.42984336164287373	6.130199215869853	0.19746893274055374	NaN
1	0.13125	500.19955161252966	0.7980336625548486	0.4299341384690248	6.130197800626429	0.19747031295386658	NaN
1	0.13125	500.79704596248325	0.8126038651659772	0.43099220197555727	6.130123632706692	0.1975372306073392	NaN
1	0.13125	501.6962097723684	0.8231690087678489	0.43362096900188374	6.129629493830339	0.19792676759853559	NaN
1	0.13125	502.6931558339411	0.8277202761890223	0.436763941782761	6.128419380910659	0.19872290483515642	NaN
1	0.13125	503.8534906007935	0.8294771555535193	0.4400201823544464	6.126181359090031	0.1998992139867885	NaN
1	0.13125	505.1749191501288	0.8299047808387612	0.4430016277989537	6.122744170523725	0.2012730171565481	NaN
1	0.13125	506.73329835763354	0.8297162711136133	0.445634353236335	6.117794028685344	0.2026896724490159	NaN
1	0.13125	509.2025872768655	0.8288979976970573	0.4483862442651133	6.108691269928473	0.20428519581336108	NaN
1	0.13125	510.99920953232186	0.8281133362412011	0.44965541979808205	6.101524229205124	0.20499288758333692	NaN
1	0.13125	514.132317894832	0.8265522623365821	0.4509864580466554	6.08860793229885	0.20558759896276116	NaN
1	0.13125	516.6491469316725	0.8252165398052429	0.45157011752590537	6.078212307209038	0.20569389882550695	NaN
1	0.13125	520.5245432961428	0.8231405431737104	0.45202979214940775	6.062605396227577	0.20552299894642492	NaN
1	0.13125	523.8036647500377	0.8214261115272268	0.4522041561363727	6.049972709195835	0.20522591527121914	NaN
1	0.13125	527.9350512009169	0.8193628948665235	0.45229561368508003	6.034918122752499	0.2047782793205318	NaN
1	0.13125	532.0173530601603	0.8174463134364461	0.45232228788201556	6.02100621414874	0.20431823293298834	NaN
1	0.13125	536.5768211663785	0.8154521674854067	0.45232164642461753	6.006566481146561	0.20381815507363102	NaN
1	0.13125	541.3597509253996	0.8135203043253324	0.45230806111880745	5.992593652684855	0.20332400939683115	NaN
1	0.13125	546.1850219057211	0.8117269705776882	0.4522902632787592	5.979629027634833	0.20286148189031747	NaN
1	0.13125	550.8838168207899	0.8101198549882862	0.45227237250042934	5.96801290119474	0.20244559526763659	NaN
1	0.13125	555.4301006063318	0.8086856891782778	0.45225566718281657	5.957647693180551	0.20207396418553544	NaN
1	0.13125	559.8893740834695	0.8073856273125514	0.4522402124466647	5.948252041208406	0.20173689338223866	NaN
1	0.13125	564.3323728115369	0.8061874747255083	0.45222581781968396	5.939593026298575	0.20142616771284189	NaN
1	0.13125	568.7968750170785	0.8050739003910665	0.4522123535468248	5.931545303389141	0.2011373429487084	NaN
1	0.13125	573.2885597862635	0.8040380970320445	0.4521997736105831	5.924059643643328	0.20086867410788678	NaN
1	0.13125	577.7962400121955	0.8030774217251929	0.45218806528839556	5.917116935917277	0.20061948451747727	NaN
1	0.13125	586.8175782866001	0.8013683765990411	0.45216715060951357	5.904765937337211	0.20017616673292435	NaN
1	0.13125	601.7834059890515	0.7990664637129554	0.45213880851204286	5.888130282729271	0.19957904387177228	NaN
1	0.13125	616.0927387547135	0.7973639457380893	0.4521177225800106	5.875826402188419	0.1991373961054455	NaN
1	0.13125	633.5541847781687	0.7957892400964367	0.45209812517948755	5.864446215933302	0.19872889669133822	NaN
1	0.13125	652.1955731607959	0.7945633934312794	0.4520828061262729	5.8555871941356825	0.1984108910189724	NaN
1	0.13125	673.2205235791841	0.7935855804518768	0.4520705467255015	5.8485206816904896	0.1981572264528822	NaN
1	0.13125	696.1826935154027	0.7928584725091977	0.4520614074629386	5.843265980883917	0.19796859807982042	NaN
1	0.13125	721.599195740265	0.7923309543572258	0.45205476453446736	5.839453687236609	0.19783174688601624	NaN
1	0.13125	749.5821474727409	0.7919665847090491	0.4520501700081558	5.836820443796628	0.19773721995611024	NaN
1	0.13125	780.5930163982846	0.7917252461445725	0.4520471240982923	5.835076327414069	0.19767461026392358	NaN
1	0.13125	815.0870149515122	0.7915736066781679	0.4520452091506437	5.833980452637631	0.19763527083456522	NaN
1	0.13125	853.7641307760678	0.79148371287031	0.4520440735364006	5.833330804155388	0.19761194988766065	NaN
1	0.13125	897.5350323344882	0.7914340552927855	0.4520434460894957	5.832971936628942	0.1975990673246141	NaN
1	0.13125	947.69738813422	0.7914088798868502	0.45204312795085155	5.832789997922017	0.19759253611812352	NaN
1	0.13125	1006.1059082411514	0.7913974308776417	0.4520429832631595	5.832707257730573	0.19758956592335616	NaN
1	0.13125	1075.5486759915698	0.7913929121580391	0.452042926156151	5.832674601653841	0.19758839364038286	NaN
1	0.13125	1160.4208326299067	0.7913914408279629	0.45204290756150106	5.832663968582534	0.19758801193596054	NaN
1	0.13125	1268.1488842525935	0.7913910763282511	0.45204290295494526	5.832661334400386	0.19758791737447753	NaN
1	0.13125	1412.4874166295913	0.7913910164578077	0.4520429021983013	5.832660901726095	0.19758790184239977	NaN
1	0.13125	1622.387834779008	0.7913910113898156	0.45204290213425213	5.832660865100511	0.19758790052762018	NaN
1	0.13125	1971.5234409492973	0.791391011259813	0.4520429021326093	5.832660864161004	0.19758790049389388	NaN
1	0.13125	2716.4906321009425	0.7913910112608097	0.4520429021326215	5.832660864168207	0.19758790049415229	NaN
