mY	FbR_Y	FbR_U	FbR_W	FbR_C	FbD_Y	FbD_U	FbD_W	FbD_C	NfR_Y	NfR_U	NfR_W	NfR_C	NfD_Y	NfD_U	NfD_W	NfD_C	CoRa(mY)
2.0272626216986625e-7	1.9873127331720086e-6	6.515938160378096e-7	9.9009661551491	4.7408938267892413e-7	2.086678117516818e-6	6.841735046480365e-7	9.90096495795918	4.977937900267734e-7	1.9873127331720086e-6	6.515938160378095e-7	9.9009661551491	4.7408938267892413e-7	2.0866783698306095e-6	6.515938160378095e-7	9.9009661551491	4.7408938267892413e-7	0.9999975217037357
2.0744836342969517e-7	2.03360307877209e-6	6.667713847699273e-7	9.900965597426351	4.851323149585081e-7	2.1352829685057513e-6	7.001099517134701e-7	9.90096437235044	5.09388866008455e-7	2.03360307877209e-6	6.667713847699273e-7	9.900965597426351	4.851323149585081e-7	2.1352832327106944e-6	6.667713847699273e-7	9.900965597426351	4.851323149585081e-7	0.9999974639769501
2.1228045655771802e-7	2.0809716596361957e-6	6.823024844464674e-7	9.900965026712639	4.964324688524117e-7	2.185019965961501e-6	7.164176062656796e-7	9.900963773101196	5.212540245479402e-7	2.0809716596361957e-6	6.823024844464672e-7	9.900965026712639	4.964324688524116e-7	2.1850202426180056e-6	6.823024844464672e-7	9.900965026712639	4.964324688524116e-7	0.9999974049055528
2.1722510359367204e-7	2.1294435908355805e-6	6.981953498587807e-7	9.900964442705366	5.079958357594078e-7	2.2359154806824717e-6	7.331051148353535e-7	9.90096315989372	5.333955566074728e-7	2.1294435908355805e-6	6.981953498587808e-7	9.900964442705366	5.079958357594078e-7	2.23591577037736e-6	6.981953498587808e-7	9.900964442705366	5.079958357594078e-7	0.9999973444582024
2.2228492625486534e-7	2.1790445724346585e-6	7.144584076110425e-7	9.900963845094887	5.198285466329362e-7	2.287996497708643e-6	7.501813253566354e-7	9.90096253240289	5.458198996813926e-7	2.1790445724346585e-6	7.144584076110424e-7	9.900963845094887	5.198285466329362e-7	2.2879968010563917e-6	7.144584076110424e-7	9.900963845094887	5.198285466329362e-7	0.9999972826028639
2.2746260732624782e-7	2.2298009031166977e-6	7.311002805881466e-7	9.900963233564351	5.319368752316152e-7	2.341290630628486e-6	7.676552918584132e-7	9.900961890296003	5.585336412091566e-7	2.2298009031166977e-6	7.311002805881466e-7	9.900963233564351	5.319368752316152e-7	2.3412909482725326e-6	7.311002805881466e-7	9.900963233564351	5.319368752316152e-7	0.999997219306744
2.3276089208285844e-7	2.2817394941268445e-6	7.481297925276648e-7	9.90096260778952	5.443272414454542e-7	2.395826136219082e-6	7.855362792648731e-7	9.900961233232614	5.715435220678496e-7	2.2817394941268445e-6	7.481297925276647e-7	9.90096260778952	5.443272414454542e-7	2.395826468833187e-6	7.481297925276647e-7	9.90096260778952	5.443272414454542e-7	0.9999971545362738
2.3818258974540575e-7	2.334887883539896e-6	7.655559726982974e-7	9.900961967438604	5.570062146995376e-7	2.4516319294272126e-6	8.038337683078745e-7	9.900960560864347	5.848564401460342e-7	2.3348878835398955e-6	7.655559726982975e-7	9.900961967438603	5.570062146995376e-7	2.4516322777168906e-6	7.655559726982974e-7	9.900961967438604	5.570062146995376e-7	0.9999970882570993
2.437305749697556e-7	2.3892742508604048e-6	7.83388060687309e-7	9.900961312172086	5.699805174369902e-7	2.508737598699411e-6	8.225574605537568e-7	9.900959872834704	5.984794540008495e-7	2.3892742508604048e-6	7.833880606873091e-7	9.900961312172086	5.699805174369903e-7	2.508737963403425e-6	7.833880606873091e-7	9.900961312172086	5.699805174369903e-7	0.9999970204341131
2.4940778937110984e-7	2.4449274319628035e-6	8.01635511299465e-7	9.900960641642543	5.83257028683054e-7	2.5671734216690144e-6	8.417172835472215e-7	9.900959168778897	6.124197866002741e-7	2.4449274319628035e-6	8.016355112994649e-7	9.900960641642543	5.83257028683054e-7	2.567173803560944e-6	8.01635511299465e-7	9.900960641642543	5.83257028683054e-7	0.9999969510313357
